title,module
Custom Webhook,gateway:CustomWebHook
Webhook Response,gateway:WebhookResponse
HTTP Make a request,http:ActionSendData
HTTP OAuth 2.0 request,http:MakeOAuth2Request
HTTP Get a file,http:GetFile
HTTP Download a file,http:DownloadFile
HTTP Upload a file,http:UploadFile
HTTP Delete request,http:DeleteRequest
Router,builtin:BasicRouter
Iterator,util:Iterator
Repeater,util:Repeater
Converger,builtin:Converger
Sleep (Delay),util:Sleep
Text Parser,util:TextParser
Text Formatter,util:TextFormatter
Set Variable,util:SetVariable
Math Operation,util:MathOperation
String Operation,util:StringOperation
Base64 Encode,util:Base64Encode
Base64 Decode,util:Base64Decode
Hash (MD5/SHA),util:Hash
HMAC,util:Hmac
JWT Sign,util:JwtSign
UUID,util:UUID
Random,util:Random
Filter,util:Filter
Break,util:Break
Continue,util:Continue
Array Aggregator,util:ArrayAggregator
Remove Duplicates,util:ArrayRemoveDuplicates
CSV Parse,csv:Parse
CSV Create,csv:Create
JSON Parse,json:ParseJSON
JSON Create,json:Create
JSON Transform,json:Transform
JSON Validate,json:Validate
XML Parse,xml:Parse
XML Create,xml:Create
XML Validate,xml:Validate
Datastore Create Record,datastore:CreateRecord
Datastore Get Record,datastore:GetRecord
Datastore Update Record,datastore:UpdateRecord
Datastore Delete Record,datastore:DeleteRecord
Datastore List Records,datastore:ListRecords
Files Save File,files:SaveFile
FTP Upload File,ftp:UploadFile
SFTP Upload File,sftp:UploadFile
SMTP Send Email,smtp:SendEmail
Email Send,email:SendEmail
Email Parse,email:ParseEmail
Gmail Send Email,gmail:sendEmail
Gmail Watch Emails,gmail:WatchEmails
Google Sheets Add Row,google-sheets:AddRow
Google Sheets Update Row,google-sheets:UpdateRow
Google Sheets Get Values,google-sheets:GetValues
Google Sheets Append Values,google-sheets:AppendValues
Google Sheets Watch Rows,google-sheets:WatchRows
Google Drive Upload File,google-drive:UploadFile
Google Drive Create Folder,google-drive:CreateFolder
Google Drive List Files,google-drive:ListFiles
Google Drive Watch Files,google-drive:WatchFiles
Google Calendar Create Event,google-calendar:CreateEvent
Google Calendar Update Event,google-calendar:UpdateEvent
Google Calendar Delete Event,google-calendar:DeleteEvent
Google Calendar Get Events,google-calendar:GetEvents
Google Docs Create Document,google-docs:CreateDocument
Google Docs Update Document,google-docs:UpdateDocument
Google Forms Watch Responses,google-forms:WatchResponses
Google Translate Translate Text,google-translate:TranslateText
Google Vision Annotate Image,google-vision:AnnotateImage
Google Speech Transcribe,google-speech:Transcribe
YouTube Upload Video,youtube:UploadVideo
Slack Post Message,slack:PostMessage
Slack Update Message,slack:UpdateMessage
Slack Watch Messages,slack:WatchMessages
Discord Send Message,discord:SendMessage
Discord Watch Messages,discord:WatchMessages
Telegram Send Message,telegram:SendMessage
Telegram Watch Updates,telegram:WatchUpdates
Twilio Send SMS,twilio:SendSMS
Twilio Make Call,twilio:MakeCall
Twilio Send WhatsApp,twilio:SendWhatsApp
Airtable Create Record,airtable:ActionCreateRecord
Airtable Update Record,airtable:ActionUpdateRecord
Airtable Find Records,airtable:ActionFindRecords
Airtable Watch Records,airtable:WatchRecords
Notion Create Page,notion:CreatePage
Notion Update Page,notion:UpdatePage
Notion Query Database,notion:QueryDatabase
Trello Create Card,trello:CreateCard
Trello Update Card,trello:UpdateCard
Trello Watch Cards,trello:WatchCards
Asana Create Task,asana:CreateTask
Asana Update Task,asana:UpdateTask
Asana Watch Tasks,asana:WatchTasks
Jira Create Issue,jira:CreateIssue
Jira Update Issue,jira:UpdateIssue
Jira Search Issues,jira:SearchIssues
GitHub Create Issue,github:CreateIssue
GitHub Create Pull Request,github:CreatePullRequest
GitHub Watch Events,github:WatchEvents
GitLab Create Issue,gitlab:CreateIssue
Bitbucket Create Issue,bitbucket:CreateIssue
Stripe Create Charge,stripe:CreateCharge
Stripe Create Customer,stripe:CreateCustomer
Stripe Create PaymentIntent,stripe:CreatePaymentIntent
PayPal Create Order,paypal:CreateOrder
Shopify Create Order,shopify:CreateOrder
Shopify Update Order,shopify:UpdateOrder
WooCommerce Create Order,woocommerce:CreateOrder
WordPress Create Post,wordpress:CreatePost
WordPress Update Post,wordpress:UpdatePost
Mailchimp Send Campaign,mailchimp:SendCampaign
SendGrid Send Email,sendgrid:SendEmail
Klaviyo Create Event,klaviyo:CreateEvent
Zoom Create Meeting,zoom:CreateMeeting
Calendly Create Invitee,calendly:CreateInvitee
ClickUp Create Task,clickup:CreateTask
Monday Create Item,monday:CreateItem
Smartsheet Create Row,smartsheet:CreateRow
Basecamp Create To-do,basecamp:CreateTodo
Zoho CRM Create Record,zoho-crm:CreateRecord
Zoho CRM Update Record,zoho-crm:UpdateRecord
Freshdesk Create Ticket,freshdesk:CreateTicket
Intercom Create Conversation,intercom:CreateConversation
HubSpot Create Contact,hubspot:CreateContact
HubSpot Update Contact,hubspot:UpdateContact
Salesforce Create Record,salesforce:CreateRecord
Salesforce Update Record,salesforce:UpdateRecord
Salesforce Query,salesforce:Query
Pipedrive Create Deal,pipedrive:CreateDeal
Pipedrive Update Deal,pipedrive:UpdateDeal
Facebook Leads Watch Leads,facebook-leads:WatchLeads
Instagram Send Message,instagram:SendMessage
LinkedIn Ads Create Campaign,linkedin-ads:CreateCampaign
Twitter Post Tweet,twitter:PostTweet
TikTok Ads Create Campaign,tiktok-ads:CreateCampaign
Dropbox Upload File,dropbox:UploadFile
Box Upload File,box:UploadFile
OneDrive Upload File,onedrive:UploadFile
SharePoint Create Item,sharepoint:CreateItem
Microsoft Teams Send Message,microsoft-teams:SendMessage
Outlook Send Email,outlook:SendEmail
Office 365 Create Event,office365:CreateEvent
RSS Watch Feed,rss:WatchFeed
PDF Create,pdf:CreatePDF
PDF Extract Text,pdf:ExtractText
Image Resize,image:ResizeImage
OCR Extract Text,ocr:ExtractText
OpenAI Create Chat Completion,openai:CreateChatCompletion
